Component network meta-analysis.

Additive model (common effects model):
                                                   treat1                      treat2      OR             95%-CI     z  p-value
Adler 2008a                                   atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Adler 2008b                                       placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Adler 2009a                                   atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Adler 2009b                                   atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Adler 2009c                                       placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Adler 2013                                        placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Alyagon 2020                               active control                        sham  0.4914 [0.0995;   2.4270] -0.87   0.3833
Alyagon 2020                               active control                 TMS (right)  0.3472 [0.0777;   1.5507] -1.39   0.1659
Alyagon 2020                                         sham                 TMS (right)  0.7066 [0.2291;   2.1795] -0.60   0.5456
Anastopoulos 2021                                     CBT                waiting list  1.6077 [1.0460;   2.4711]  2.17   0.0304
Arnold 2014                                     modafinil                     placebo  1.8293 [1.0137;   3.3014]  2.00   0.0450
Bachmann 2018                                 mindfulness             psychoeducation  1.0074 [0.4737;   2.1423]  0.02   0.9847
Biederman 2012                                    placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Biehl 2016                                        placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Bleich-Cohen 2021                                    sham                  TMS (left)  0.5345 [0.1522;   1.8763] -0.98   0.3282
Bleich-Cohen 2021                                    sham                 TMS (right)  0.7066 [0.2291;   2.1795] -0.60   0.5456
Bleich-Cohen 2021                              TMS (left)                 TMS (right)  1.3219 [0.3141;   5.5628]  0.38   0.7034
Bron 2014                                         placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Cachoeira 2017                                       sham                        tDCS  0.2545 [0.0576;   1.1241] -1.81   0.0710
Casas 2013                                        placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Cherkasova 2016                                       CBT            CBT + stimulants  0.4048 [0.1122;   1.4595] -1.38   0.1669
Cutler 2022                                       placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Dittner 2014                                    CBT + TAU                         TAU  0.9107 [0.4337;   1.9125] -0.25   0.8048
Durell 2013                                   atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Emilsson 2011                                   CBT + TAU                         TAU  0.9107 [0.4337;   1.9125] -0.25   0.8048
Faraone 2021                                      placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Fleming 2013                                          CBT                         DBT  0.8120 [0.3745;   1.7605] -0.53   0.5978
Frick 2017                                        placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Goodman 2016                                      placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Goto 2013                                     atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Gu 2016                                       mindfulness                waiting list  1.8182 [0.6032;   5.4806]  1.06   0.2883
Halmoy 2022                                           DBT                waiting list  1.9801 [0.9027;   4.3430]  1.70   0.0883
Hanssen 2023                                    GMT + TAU                         TAU 23.6769 [1.3277; 422.2217]  2.15   0.0313
Hepark 2015                                   mindfulness                waiting list  1.8182 [0.6032;   5.4806]  1.06   0.2883
Hirvikoski 2013                     psychoeducation + TAU          waiting list + TAU  1.8048 [0.6121;   5.3218]  1.07   0.2846
Hoxhaj 2018                                   mindfulness             psychoeducation  1.0074 [0.4737;   2.1423]  0.02   0.9847
Huang 2015                                            CBT                waiting list  1.6077 [1.0460;   2.4711]  2.17   0.0304
Huss 2014                                         placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Iwanami 2020                                   guanfacine                     placebo  3.6998 [1.5015;   9.1169]  2.84   0.0045
Janssen 2018                            mindfulness + TAU                         TAU  1.0299 [0.2923;   3.6285]  0.05   0.9634
Kay 2009a                                         placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Konstenius 2010 - ISRCTN81602628 placebo + skill training stimulants + skill training  1.1263 [0.9795;   1.2952]  1.67   0.0951
Kouhbanani 2023                         physical training                waiting list  1.8000 [0.3893;   8.3231]  0.75   0.4518
Leffa 2022                                           sham                        tDCS  0.2545 [0.0576;   1.1241] -1.81   0.0710
Levin 2007                                  placebo + CBT            stimulants + CBT  1.1263 [0.9795;   1.2952]  1.67   0.0951
McRae-Clark 2010                              atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Michelson 2003a                               atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Michelson 2003b                               atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Mitchell 2017                                 mindfulness                waiting list  1.8182 [0.6032;   5.4806]  1.06   0.2883
Moritz 2020                                     DBT + TAU                         TAU  1.1216 [0.7047;   1.7851]  0.48   0.6284
Nakashima 2021                                  CBT + TAU                         TAU  0.9107 [0.4337;   1.9125] -0.25   0.8048
Nasser 2022                                       placebo                  viloxazine  0.6336 [0.4024;   0.9974] -1.97   0.0487
NCT02489279                             cognitive placebo          cognitive training  1.5388 [0.7414;   3.1942]  1.16   0.2474
NCT03324581                                   atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
NCT03663179                                          sham                  TMS (left)  0.5345 [0.1522;   1.8763] -0.98   0.3282
Paz 2017                                             sham             TMS (bilateral)  0.2308 [0.0206;   2.5887] -1.19   0.2345
Pettersson 2014                                       CBT                waiting list  1.6077 [1.0460;   2.4711]  2.17   0.0304
Philipsen 2015                              DBT + placebo            DBT + stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Philipsen 2015                              DBT + placebo                     placebo  1.1216 [0.7047;   1.7851]  0.48   0.6284
Philipsen 2015                              DBT + placebo                  stimulants  1.2633 [0.7752;   2.0587]  0.94   0.3483
Philipsen 2015                           DBT + stimulants                     placebo  0.9958 [0.6149;   1.6126] -0.02   0.9863
Philipsen 2015                           DBT + stimulants                  stimulants  1.1216 [0.7047;   1.7851]  0.48   0.6284
Philipsen 2015                                    placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Reimherr 2005                                   bupropion                     placebo  0.8394 [0.2581;   2.7302] -0.29   0.7711
Rosler 2009                                       placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Safren 2010                                           CBT          relaxation therapy  0.3707 [0.0679;   2.0257] -1.15   0.2521
Schoenenberg 2017                                     CBT               neurofeedback  0.9211 [0.1743;   4.8678] -0.10   0.9229
Schoenenberg 2017                                     CBT        sham + neurofeedback  0.9474 [0.1794;   5.0023] -0.06   0.9492
Schoenenberg 2017                           neurofeedback        sham + neurofeedback  1.0286 [0.1943;   5.4452]  0.03   0.9736
Schrantee 2016                                    placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Solanto 2010                                          CBT       psychological placebo  0.3109 [0.1125;   0.8586] -2.25   0.0242
Spencer 1995                                      placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Spencer 1998                                  atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Spencer 2001                                      placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Spencer 2007                                      placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Stern 2014                              cognitive placebo          cognitive training  1.5388 [0.7414;   3.1942]  1.16   0.2474
Stevenson 2002                      cognitive remediation                waiting list  2.8667 [0.1106;  74.2831]  0.63   0.5260
Sutherland 2012                               atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Takahashi 2014                                    placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Vidal 2013                                            CBT             psychoeducation  0.8908 [0.2967;   2.6748] -0.21   0.8367
Weisler 2006                                      placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Weisler 2012                                  atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Weisler 2012                                  atomoxetine                  stimulants  1.6159 [1.3347;   1.9563]  4.92 < 0.0001
Weisler 2012                                      placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Weisler 2017                                      placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Weiss 2020                                        placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Wilens 2001                                     bupropion                     placebo  0.8394 [0.2581;   2.7302] -0.29   0.7711
Wilens 2008                                   atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001
Winhusen 2010                                     placebo                  stimulants  1.1263 [0.9795;   1.2952]  1.67   0.0951
Young 2011                                    atomoxetine                     placebo  1.4346 [1.2553;   1.6396]  5.30 < 0.0001

Additive model (random effects model):
                                                   treat1                      treat2      OR             95%-CI     z p-value
Adler 2008a                                   atomoxetine                     placebo  1.4329 [1.1390;   1.8026]  3.07  0.0021
Adler 2008b                                       placebo                  stimulants  1.1106 [0.9096;   1.3559]  1.03  0.3032
Adler 2009a                                   atomoxetine                     placebo  1.4329 [1.1390;   1.8026]  3.07  0.0021
Adler 2009b                                   atomoxetine                     placebo  1.4329 [1.1390;   1.8026]  3.07  0.0021
Adler 2009c                                       placebo                  stimulants  1.1106 [0.9096;   1.3559]  1.03  0.3032
Adler 2013                                        placebo                  stimulants  1.1106 [0.9096;   1.3559]  1.03  0.3032
Alyagon 2020                               active control                        sham  0.4899 [0.0890;   2.6960] -0.82  0.4122
Alyagon 2020                               active control                 TMS (right)  0.3544 [0.0705;   1.7809] -1.26  0.2079
Alyagon 2020                                         sham                 TMS (right)  0.7235 [0.2146;   2.4384] -0.52  0.6016
Anastopoulos 2021                                     CBT                waiting list  1.4195 [0.7896;   2.5518]  1.17  0.2417
Arnold 2014                                     modafinil                     placebo  1.8293 [0.7652;   4.3732]  1.36  0.1744
Bachmann 2018                                 mindfulness             psychoeducation  1.0773 [0.4494;   2.5824]  0.17  0.8674
Biederman 2012                                    placebo                  stimulants  1.1106 [0.9096;   1.3559]  1.03  0.3032
Biehl 2016                                        placebo                  stimulants  1.1106 [0.9096;   1.3559]  1.03  0.3032
Bleich-Cohen 2021                                    sham                  TMS (left)  0.5278 [0.1385;   2.0112] -0.94  0.3491
Bleich-Cohen 2021                                    sham                 TMS (right)  0.7235 [0.2146;   2.4384] -0.52  0.6016
